#{"t_start": 1717156320.7890003, "env_id": "MagnetEnv_OSC-v0"}
r,l,t
-38.608264,2001,2096.117814
-43.546826,2001,2098.537858
-43.539892,2001,2100.964657
-41.039021,2001,2103.425402
-37.610698,2001,2105.886206
-34.610512,2001,2108.292477
-38.578134,2001,2110.750509
-37.082604,2001,2113.212303
-43.044943,2001,2115.65402
-39.060344,2001,2118.079365
-44.529765,2001,2120.544247
-38.095126,2001,2123.02826
-37.60484,2001,2125.509066
-35.099334,2001,2127.975971
-39.54741,2001,2130.417786
-40.546494,2001,2132.861934
-39.043912,2001,2135.319199
-39.544623,2001,2137.779469
-39.032093,2001,2140.191136
-46.075159,2001,2142.653582
-38.535607,2001,2145.094415
-35.087943,2001,2147.525139
-43.545827,2001,2149.932307
-41.041535,2001,2152.349545
-36.073638,2001,2154.772441
-40.039497,2001,2157.233823
-42.549732,2001,2159.690385
-41.047389,2001,2162.146954
-45.058025,2001,2164.61067
-42.543626,2001,2167.062047
-39.544495,2001,2168.875663
-37.550024,2001,2172.09474
-37.550024,2001,2173.729581
-37.550024,2001,2175.364452
-37.550024,2001,2177.004294
-37.550024,2001,2178.642879
-40.537482,2001,2181.065593
-41.560424,2001,2183.452897
-41.553482,2001,2185.904981
-42.553097,2001,2188.359666
-39.082424,2001,2190.7851
-38.035048,2001,2193.183453
-38.093044,2001,2195.644527
-41.043508,2001,2198.102427
-39.545838,2001,2200.542191
-40.550238,2001,2202.97781
-40.05349,2001,2205.398638
-40.050761,2001,2207.837662
-41.541065,2001,2210.228666
-41.055388,2001,2212.688213
-38.547611,2001,2215.084933
